Model,location,target_end_date,wis,horizon,reference_date
CEPH-Rtrend_fluH,01,2024-04-27,1.9128891304347824,0,2024-04-27
CEPH-Rtrend_fluH,02,2024-04-27,3.405660869565218,0,2024-04-27
CEPH-Rtrend_fluH,04,2024-04-27,23.574782608695653,0,2024-04-27
CEPH-Rtrend_fluH,05,2024-04-27,3.1795652173913043,0,2024-04-27
CEPH-Rtrend_fluH,06,2024-04-27,6.374347826086957,0,2024-04-27
CEPH-Rtrend_fluH,08,2024-04-27,3.261739130434783,0,2024-04-27
CEPH-Rtrend_fluH,09,2024-04-27,11.496521739130435,0,2024-04-27
CEPH-Rtrend_fluH,10,2024-04-27,1.9995652173913043,0,2024-04-27
CEPH-Rtrend_fluH,11,2024-04-27,1.1030434782608822,0,2024-04-27
CEPH-Rtrend_fluH,12,2024-04-27,51.164565217391306,0,2024-04-27
CEPH-Rtrend_fluH,13,2024-04-27,3.140869565217392,0,2024-04-27
CEPH-Rtrend_fluH,15,2024-04-27,4.317617391304349,0,2024-04-27
CEPH-Rtrend_fluH,16,2024-04-27,9.803141304347827,0,2024-04-27
CEPH-Rtrend_fluH,17,2024-04-27,4.237826086956523,0,2024-04-27
CEPH-Rtrend_fluH,18,2024-04-27,3.3817565217391303,0,2024-04-27
CEPH-Rtrend_fluH,19,2024-04-27,9.921304347826089,0,2024-04-27
CEPH-Rtrend_fluH,20,2024-04-27,10.933478260869567,0,2024-04-27
CEPH-Rtrend_fluH,21,2024-04-27,3.424347826086956,0,2024-04-27
CEPH-Rtrend_fluH,22,2024-04-27,2.3721739130434782,0,2024-04-27
CEPH-Rtrend_fluH,23,2024-04-27,1.666521739130435,0,2024-04-27
CEPH-Rtrend_fluH,24,2024-04-27,3.42,0,2024-04-27
CEPH-Rtrend_fluH,25,2024-04-27,12.36434782608696,0,2024-04-27
CEPH-Rtrend_fluH,26,2024-04-27,9.56608695652174,0,2024-04-27
CEPH-Rtrend_fluH,27,2024-04-27,2.8056521739130442,0,2024-04-27
CEPH-Rtrend_fluH,28,2024-04-27,3.617391304347826,0,2024-04-27
CEPH-Rtrend_fluH,29,2024-04-27,4.181304347826088,0,2024-04-27
CEPH-Rtrend_fluH,30,2024-04-27,4.718260869565218,0,2024-04-27
CEPH-Rtrend_fluH,31,2024-04-27,1.6821739130434785,0,2024-04-27
CEPH-Rtrend_fluH,32,2024-04-27,2.250869565217392,0,2024-04-27
CEPH-Rtrend_fluH,33,2024-04-27,2.220434782608696,0,2024-04-27
CEPH-Rtrend_fluH,34,2024-04-27,5.585217391304348,0,2024-04-27
CEPH-Rtrend_fluH,35,2024-04-27,4.243478260869565,0,2024-04-27
CEPH-Rtrend_fluH,36,2024-04-27,11.882617391304361,0,2024-04-27
CEPH-Rtrend_fluH,37,2024-04-27,4.642291304347827,0,2024-04-27
CEPH-Rtrend_fluH,38,2024-04-27,1.6469565217391302,0,2024-04-27
CEPH-Rtrend_fluH,39,2024-04-27,4.73,0,2024-04-27
CEPH-Rtrend_fluH,40,2024-04-27,7.232173913043479,0,2024-04-27
CEPH-Rtrend_fluH,41,2024-04-27,4.1943478260869576,0,2024-04-27
CEPH-Rtrend_fluH,42,2024-04-27,5.8017391304347825,0,2024-04-27
CEPH-Rtrend_fluH,44,2024-04-27,1.103913043478261,0,2024-04-27
CEPH-Rtrend_fluH,45,2024-04-27,5.724347826086956,0,2024-04-27
CEPH-Rtrend_fluH,46,2024-04-27,2.5952173913043484,0,2024-04-27
CEPH-Rtrend_fluH,47,2024-04-27,3.58304347826087,0,2024-04-27
CEPH-Rtrend_fluH,48,2024-04-27,39.63217391304348,0,2024-04-27
CEPH-Rtrend_fluH,49,2024-04-27,1.6413130434782606,0,2024-04-27
CEPH-Rtrend_fluH,50,2024-04-27,1.0300000000000002,0,2024-04-27
CEPH-Rtrend_fluH,51,2024-04-27,14.364139130434785,0,2024-04-27
CEPH-Rtrend_fluH,53,2024-04-27,11.76086956521739,0,2024-04-27
CEPH-Rtrend_fluH,54,2024-04-27,6.670234782608699,0,2024-04-27
CEPH-Rtrend_fluH,55,2024-04-27,4.8234782608695665,0,2024-04-27
CEPH-Rtrend_fluH,56,2024-04-27,1.738704347826087,0,2024-04-27
CEPH-Rtrend_fluH,72,2024-04-27,3.407680434782609,0,2024-04-27
CEPH-Rtrend_fluH,US,2024-04-27,154.7582630434783,0,2024-04-27
CEPH-Rtrend_fluH,01,2024-04-20,2.0043478260869576,0,2024-04-20
CEPH-Rtrend_fluH,02,2024-04-20,3.422391304347826,0,2024-04-20
CEPH-Rtrend_fluH,04,2024-04-20,5.05304347826087,0,2024-04-20
CEPH-Rtrend_fluH,05,2024-04-20,4.318695652173914,0,2024-04-20
CEPH-Rtrend_fluH,06,2024-04-20,7.045923913043475,0,2024-04-20
CEPH-Rtrend_fluH,08,2024-04-20,16.671739130434784,0,2024-04-20
CEPH-Rtrend_fluH,09,2024-04-20,3.8582695652173915,0,2024-04-20
CEPH-Rtrend_fluH,10,2024-04-20,1.6947826086956526,0,2024-04-20
CEPH-Rtrend_fluH,11,2024-04-20,1.7417391304347827,0,2024-04-20
CEPH-Rtrend_fluH,12,2024-04-20,25.930000000000003,0,2024-04-20
CEPH-Rtrend_fluH,13,2024-04-20,4.784782608695653,0,2024-04-20
CEPH-Rtrend_fluH,15,2024-04-20,3.4989391304347843,0,2024-04-20
CEPH-Rtrend_fluH,16,2024-04-20,1.7932608695652172,0,2024-04-20
CEPH-Rtrend_fluH,17,2024-04-20,34.22521739130435,0,2024-04-20
CEPH-Rtrend_fluH,18,2024-04-20,18.90434782608697,0,2024-04-20
CEPH-Rtrend_fluH,19,2024-04-20,10.734782608695653,0,2024-04-20
CEPH-Rtrend_fluH,20,2024-04-20,17.702173913043477,0,2024-04-20
CEPH-Rtrend_fluH,21,2024-04-20,3.2391304347826098,0,2024-04-20
CEPH-Rtrend_fluH,22,2024-04-20,2.513478260869565,0,2024-04-20
CEPH-Rtrend_fluH,23,2024-04-20,1.9969565217391307,0,2024-04-20
CEPH-Rtrend_fluH,24,2024-04-20,2.7334782608695654,0,2024-04-20
CEPH-Rtrend_fluH,25,2024-04-20,11.308269565217381,0,2024-04-20
CEPH-Rtrend_fluH,26,2024-04-20,61.815869565217355,0,2024-04-20
CEPH-Rtrend_fluH,27,2024-04-20,6.468260869565219,0,2024-04-20
CEPH-Rtrend_fluH,28,2024-04-20,2.7086956521739127,0,2024-04-20
CEPH-Rtrend_fluH,29,2024-04-20,4.821739130434783,0,2024-04-20
CEPH-Rtrend_fluH,30,2024-04-20,1.069139130434783,0,2024-04-20
CEPH-Rtrend_fluH,31,2024-04-20,6.1686956521739145,0,2024-04-20
CEPH-Rtrend_fluH,32,2024-04-20,3.618260869565218,0,2024-04-20
CEPH-Rtrend_fluH,33,2024-04-20,1.4508695652173724,0,2024-04-20
CEPH-Rtrend_fluH,34,2024-04-20,5.460443478260871,0,2024-04-20
CEPH-Rtrend_fluH,35,2024-04-20,1.6152173913043482,0,2024-04-20
CEPH-Rtrend_fluH,36,2024-04-20,43.478695652173904,0,2024-04-20
CEPH-Rtrend_fluH,37,2024-04-20,7.709139130434782,0,2024-04-20
CEPH-Rtrend_fluH,38,2024-04-20,2.711304347826087,0,2024-04-20
CEPH-Rtrend_fluH,39,2024-04-20,14.531095652173942,0,2024-04-20
CEPH-Rtrend_fluH,40,2024-04-20,3.3069565217391306,0,2024-04-20
CEPH-Rtrend_fluH,41,2024-04-20,3.9847913043478265,0,2024-04-20
CEPH-Rtrend_fluH,42,2024-04-20,6.635434782608696,0,2024-04-20
CEPH-Rtrend_fluH,44,2024-04-20,1.6139217391304352,0,2024-04-20
CEPH-Rtrend_fluH,45,2024-04-20,8.030869565217394,0,2024-04-20
CEPH-Rtrend_fluH,46,2024-04-20,6.491304347826087,0,2024-04-20
CEPH-Rtrend_fluH,47,2024-04-20,5.09913043478261,0,2024-04-20
CEPH-Rtrend_fluH,48,2024-04-20,40.61440217391304,0,2024-04-20
CEPH-Rtrend_fluH,49,2024-04-20,1.951113043478261,0,2024-04-20
CEPH-Rtrend_fluH,50,2024-04-20,2.700008695652174,0,2024-04-20
CEPH-Rtrend_fluH,51,2024-04-20,19.73405434782609,0,2024-04-20
CEPH-Rtrend_fluH,53,2024-04-20,4.126956521739131,0,2024-04-20
CEPH-Rtrend_fluH,54,2024-04-20,2.710217391304313,0,2024-04-20
